X,DATE,EXERCISE,CATEGORY,WEIGHT,REPS,SET_NUM,SOURCE,BIG_FOUR,VOLUME,IMPLEMENT,ASSISTED,MOVEMENT
1,2014-07-29,Flat Dumbbell Bench Press,Chest,12.0,10.0,1,FitNotes,Bench Press*,120.0,Dumbbell,FALSE,Push
2,2014-07-29,Flat Dumbbell Bench Press,Chest,22.0,5.0,2,FitNotes,Bench Press*,110.0,Dumbbell,FALSE,Push
3,2014-07-29,Flat Dumbbell Bench Press,Chest,26.0,5.0,3,FitNotes,Bench Press*,130.0,Dumbbell,FALSE,Push
4,2014-07-29,Flat Dumbbell Bench Press,Chest,30.0,3.0,4,FitNotes,Bench Press*,90.0,Dumbbell,FALSE,Push
5,2014-07-29,Isolateral Lat Pulldown,Back,40.0,10.0,1,FitNotes,Other,400.0,NA,FALSE,Pull
6,2014-07-29,Isolateral Lat Pulldown,Back,60.0,10.0,2,FitNotes,Other,600.0,NA,FALSE,Pull
7,2014-07-29,Chin Up,Back,0.0,3.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
8,2014-07-29,Deadlift,Back,100.0,5.0,1,FitNotes,Deadlift,500.0,NA,FALSE,Hinge
9,2014-07-29,One-Arm Kettlebell Row,Back,18.0,10.0,1,FitNotes,Other,180.0,Kettlebell,FALSE,Pull
10,2014-07-29,One-Arm Kettlebell Row,Back,28.0,5.0,2,FitNotes,Other,140.0,Kettlebell,FALSE,Pull
11,2014-07-29,Neutral Chin Up,Back,0.0,3.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
12,2014-08-04,Neutral Chin Up,Back,0.0,6.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
13,2014-08-04,Neutral Chin Up,Back,0.0,3.0,2,FitNotes,Other,0.0,NA,FALSE,Pull
14,2014-08-04,Monkey bars,Back,0.0,11.0,1,FitNotes,Other,0.0,NA,FALSE,NA
15,2014-08-04,Kettlebell Snatch,Back,12.0,10.0,1,FitNotes,Other,120.0,Kettlebell,FALSE,Pull
16,2014-08-04,Kettlebell Snatch,Back,16.0,5.0,2,FitNotes,Other,80.0,Kettlebell,FALSE,Pull
17,2014-08-04,Parallel Bar Triceps Dip,Triceps,0.0,3.0,1,FitNotes,Other,0.0,NA,FALSE,Push
18,2014-08-04,Flat Barbell Bench Press,Chest,50.0,10.0,1,FitNotes,Bench Press,500.0,Barbell,FALSE,Push
19,2014-08-04,Flat Barbell Bench Press,Chest,70.0,3.0,2,FitNotes,Bench Press,210.0,Barbell,FALSE,Push
20,2014-08-04,Machine T-Bar Row,Back,20.0,10.0,1,FitNotes,Other,200.0,Machine,FALSE,Pull
21,2014-08-04,Machine T-Bar Row,Back,30.0,10.0,2,FitNotes,Other,300.0,Machine,FALSE,Pull
22,2014-08-04,Cable Lat Pulldown,Back,36.0,10.0,1,FitNotes,Other,360.0,Cable,FALSE,Pull
23,2014-08-04,Seated Dip Machine,Triceps,36.0,10.0,1,FitNotes,Other,360.0,Machine,FALSE,Push
24,2014-08-04,Seated Dip Machine,Triceps,50.0,5.0,2,FitNotes,Other,250.0,Machine,FALSE,Push
25,2014-08-04,Seated Dip Machine,Triceps,64.0,3.0,3,FitNotes,Other,192.0,Machine,FALSE,Push
26,2014-08-04,Barbell Pendlay Row,Back,50.0,5.0,1,FitNotes,Other,250.0,Barbell,FALSE,Pull
27,2014-08-04,Barbell Pendlay Row,Back,70.0,5.0,2,FitNotes,Other,350.0,Barbell,FALSE,Pull
28,2014-08-04,Barbell Pendlay Row,Back,70.0,5.0,3,FitNotes,Other,350.0,Barbell,FALSE,Pull
29,2014-08-04,Assisted Pull-Up,Back,40.5,10.0,1,FitNotes,Other,405.0,NA,TRUE,Pull
30,2014-08-04,Assisted Wide-Grip Pull-Up,Back,40.5,10.0,1,FitNotes,Other,405.0,NA,TRUE,Pull
31,2014-08-04,EZ-Bar Preacher Curl,Biceps,17.5,10.0,1,FitNotes,Other,175.0,EZ Bar,FALSE,NA
32,2014-08-04,EZ-Bar Preacher Curl,Biceps,17.5,10.0,2,FitNotes,Other,175.0,EZ Bar,FALSE,NA
33,2014-08-04,Arnold Dumbbell Press,Shoulders,15.0,10.0,1,FitNotes,Other,150.0,Dumbbell,FALSE,Push
34,2014-08-04,Arnold Dumbbell Press,Shoulders,17.5,8.0,2,FitNotes,Other,140.0,Dumbbell,FALSE,Push
35,2014-08-04,One-Arm Rope Triceps Pushdown,Triceps,15.0,10.0,1,FitNotes,Other,150.0,NA,FALSE,Push
36,2014-08-04,One-Arm Rope Triceps Pushdown,Triceps,20.0,10.0,2,FitNotes,Other,200.0,NA,FALSE,Push
37,2014-08-05,Barbell Squat,Legs,20.0,5.0,1,FitNotes,Squat,100.0,Barbell,FALSE,Squat
38,2014-08-05,Barbell Squat,Legs,60.0,5.0,2,FitNotes,Squat,300.0,Barbell,FALSE,Squat
39,2014-08-05,Barbell Squat,Legs,80.0,5.0,3,FitNotes,Squat,400.0,Barbell,FALSE,Squat
40,2014-08-05,Trap-Bar Deadlift,Back,50.0,5.0,1,FitNotes,Deadlift*,250.0,Trap Bar,FALSE,Hinge
41,2014-08-05,Trap-Bar Deadlift,Back,90.0,5.0,2,FitNotes,Deadlift*,450.0,Trap Bar,FALSE,Hinge
42,2014-08-05,Trap-Bar Deadlift,Back,120.0,5.0,3,FitNotes,Deadlift*,600.0,Trap Bar,FALSE,Hinge
43,2014-08-05,Trap-Bar Deadlift,Back,140.0,2.0,4,FitNotes,Deadlift*,280.0,Trap Bar,FALSE,Hinge
44,2014-08-05,Trap-Bar Deadlift,Back,170.0,1.0,5,FitNotes,Deadlift*,170.0,Trap Bar,FALSE,Hinge
45,2014-08-05,Standing Calf Raise Machine,Legs,49.5,10.0,1,FitNotes,Other,495.0,Machine,FALSE,Pull
46,2014-08-05,Standing Calf Raise Machine,Legs,76.5,10.0,2,FitNotes,Other,765.0,Machine,FALSE,Pull
47,2014-08-05,Cable Deadlift,Back,82.0,5.0,1,FitNotes,Deadlift*,410.0,Cable,FALSE,Hinge
48,2014-08-05,Machine Leg Press,Legs,82.0,10.0,1,FitNotes,Other,820.0,Machine,FALSE,Push
49,2014-08-05,Machine Leg Press,Legs,118.0,10.0,2,FitNotes,Other,1180.0,Machine,FALSE,Push
50,2014-08-05,Machine Leg Press,Legs,146.0,5.0,3,FitNotes,Other,730.0,Machine,FALSE,Push
51,2014-08-05,Sled Push,Legs,40.0,20.0,1,FitNotes,Other,800.0,Sled,FALSE,Push
52,2014-08-05,Sled Push,Legs,40.0,20.0,2,FitNotes,Other,800.0,Sled,FALSE,Push
53,2014-08-05,Sled Push,Legs,60.0,20.0,3,FitNotes,Other,1200.0,Sled,FALSE,Push
54,2014-08-05,Sled Push,Legs,60.0,20.0,4,FitNotes,Other,1200.0,Sled,FALSE,Push
55,2014-08-05,Barbell Squat,Legs,100.0,5.0,4,FitNotes,Squat,500.0,Barbell,FALSE,Squat
56,2014-08-08,Monkey bars,Back,0.0,11.0,1,FitNotes,Other,0.0,NA,FALSE,NA
57,2014-08-08,Chin Up,Back,0.0,5.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
58,2014-08-08,Chin Up,Back,0.0,3.0,2,FitNotes,Other,0.0,NA,FALSE,Pull
59,2014-08-08,Chin Up,Back,0.0,2.0,3,FitNotes,Other,0.0,NA,FALSE,Pull
60,2014-08-08,Overhead Press,Shoulders,20.0,6.0,1,FitNotes,Overhead Press,120.0,NA,FALSE,Push
61,2014-08-08,Overhead Press,Shoulders,40.0,6.0,2,FitNotes,Overhead Press,240.0,NA,FALSE,Push
62,2014-08-08,Overhead Press,Shoulders,45.0,6.0,3,FitNotes,Overhead Press,270.0,NA,FALSE,Push
63,2014-08-08,Overhead Press,Shoulders,47.5,6.0,4,FitNotes,Overhead Press,285.0,NA,FALSE,Push
64,2014-08-08,Dumbbell Kroc Row,Back,20.0,12.0,1,FitNotes,Other,240.0,Dumbbell,FALSE,Pull
65,2014-08-08,Dumbbell Kroc Row,Back,22.5,15.0,2,FitNotes,Other,337.5,Dumbbell,FALSE,Pull
66,2014-08-08,Dumbbell Kroc Row,Back,25.0,12.0,3,FitNotes,Other,300.0,Dumbbell,FALSE,Pull
67,2014-08-08,Cable Face Pull,Shoulders,10.0,15.0,1,FitNotes,Other,150.0,Cable,FALSE,Pull
68,2014-08-08,Cable Face Pull,Shoulders,12.5,15.0,2,FitNotes,Other,187.5,Cable,FALSE,Pull
69,2014-08-08,Cable Face Pull,Shoulders,17.5,15.0,3,FitNotes,Other,262.5,Cable,FALSE,Pull
70,2014-08-08,Assisted Wide-Grip Pull-Up,Back,40.5,9.0,1,FitNotes,Other,364.5,NA,TRUE,Pull
71,2014-08-08,Assisted Wide-Grip Pull-Up,Back,36.5,9.0,2,FitNotes,Other,328.5,NA,TRUE,Pull
72,2014-08-08,Assisted Dips,Triceps,36.5,9.0,1,FitNotes,Other,328.5,NA,TRUE,Push
73,2014-08-08,Assisted Dips,Triceps,36.5,9.0,2,FitNotes,Other,328.5,NA,TRUE,Push
74,2014-08-08,Assisted Dips,Triceps,32.5,9.0,3,FitNotes,Other,292.5,NA,TRUE,Push
75,2014-08-08,Assisted Wide-Grip Pull-Up,Back,32.5,9.0,3,FitNotes,Other,292.5,NA,TRUE,Pull
76,2014-08-08,Dumbbell Pullover,Shoulders,10.0,12.0,1,FitNotes,Other,120.0,Dumbbell,FALSE,Pull
77,2014-08-08,Dumbbell Pullover,Shoulders,12.5,12.0,2,FitNotes,Other,150.0,Dumbbell,FALSE,Pull
78,2014-08-09,Barbell Squat,Legs,60.0,6.0,1,FitNotes,Squat,360.0,Barbell,FALSE,Squat
79,2014-08-09,Barbell Front Squat,Legs,60.0,3.0,1,FitNotes,Squat*,180.0,Barbell,FALSE,Squat
80,2014-08-09,Barbell Front Squat,Legs,60.0,3.0,2,FitNotes,Squat*,180.0,Barbell,FALSE,Squat
81,2014-08-09,Barbell Front Squat,Legs,60.0,3.0,3,FitNotes,Squat*,180.0,Barbell,FALSE,Squat
82,2014-08-09,Barbell Squat,Legs,90.0,6.0,2,FitNotes,Squat,540.0,Barbell,FALSE,Squat
83,2014-08-09,Barbell Squat,Legs,70.0,6.0,3,FitNotes,Squat,420.0,Barbell,FALSE,Squat
84,2014-08-09,Barbell Squat,Legs,70.0,6.0,4,FitNotes,Squat,420.0,Barbell,FALSE,Squat
85,2014-08-09,Trap-Bar Deadlift,Back,90.0,6.0,1,FitNotes,Deadlift*,540.0,Trap Bar,FALSE,Hinge
86,2014-08-09,Trap-Bar Deadlift,Back,130.0,3.0,2,FitNotes,Deadlift*,390.0,Trap Bar,FALSE,Hinge
87,2014-08-09,Trap-Bar Deadlift,Back,150.0,2.0,3,FitNotes,Deadlift*,300.0,Trap Bar,FALSE,Hinge
88,2014-08-09,Trap-Bar Deadlift,Back,170.0,1.0,4,FitNotes,Deadlift*,170.0,Trap Bar,FALSE,Hinge
89,2014-08-09,Trap-Bar Deadlift,Back,180.0,1.0,5,FitNotes,Deadlift*,180.0,Trap Bar,FALSE,Hinge
90,2014-08-09,Machine Leg Press,Legs,103.5,9.0,1,FitNotes,Other,931.5,Machine,FALSE,Push
91,2014-08-09,Machine Leg Press,Legs,103.5,12.0,2,FitNotes,Other,1242.0,Machine,FALSE,Push
92,2014-08-09,Machine Leg Press,Legs,103.5,12.0,3,FitNotes,Other,1242.0,Machine,FALSE,Push
93,2014-08-09,Lying Leg Curl Machine,Legs,20.0,15.0,1,FitNotes,Other,300.0,Machine,FALSE,NA
94,2014-08-09,Lying Leg Curl Machine,Legs,25.0,15.0,2,FitNotes,Other,375.0,Machine,FALSE,NA
95,2014-08-09,Lying Leg Curl Machine,Legs,30.0,15.0,3,FitNotes,Other,450.0,Machine,FALSE,NA
96,2014-08-09,Standing Calf Raise Machine,Legs,49.5,9.0,1,FitNotes,Other,445.5,Machine,FALSE,Pull
97,2014-08-09,Standing Calf Raise Machine,Legs,49.5,9.0,2,FitNotes,Other,445.5,Machine,FALSE,Pull
98,2014-08-09,Standing Calf Raise Machine,Legs,49.5,9.0,3,FitNotes,Other,445.5,Machine,FALSE,Pull
99,2014-08-09,Seated Calf Raise Machine,Legs,35.0,9.0,1,FitNotes,Other,315.0,Machine,FALSE,Pull
100,2014-08-09,Seated Calf Raise Machine,Legs,35.0,15.0,2,FitNotes,Other,525.0,Machine,FALSE,Pull
101,2014-08-09,Seated Calf Raise Machine,Legs,35.0,15.0,3,FitNotes,Other,525.0,Machine,FALSE,Pull
102,2014-08-09,Adductor Machine,Legs,45.0,12.0,1,FitNotes,Other,540.0,Machine,FALSE,NA
103,2014-08-09,Adductor Machine,Legs,65.0,12.0,2,FitNotes,Other,780.0,Machine,FALSE,NA
104,2014-08-09,Adductor Machine,Legs,90.0,12.0,3,FitNotes,Other,1080.0,Machine,FALSE,NA
105,2014-08-09,Adductor Machine,Legs,115.0,3.0,4,FitNotes,Other,345.0,Machine,FALSE,NA
106,2014-08-09,Abductor Machine,Legs,55.0,12.0,1,FitNotes,Other,660.0,Machine,FALSE,NA
107,2014-08-09,Abductor Machine,Legs,75.0,12.0,2,FitNotes,Other,900.0,Machine,FALSE,NA
108,2014-08-09,Abductor Machine,Legs,95.0,12.0,3,FitNotes,Other,1140.0,Machine,FALSE,NA
109,2014-08-09,Abductor Machine,Legs,115.0,3.0,4,FitNotes,Other,345.0,Machine,FALSE,NA
110,2014-08-15,Barbell Squat,Legs,60.0,5.0,1,FitNotes,Squat,300.0,Barbell,FALSE,Squat
111,2014-08-15,Barbell Squat,Legs,60.0,10.0,2,FitNotes,Squat,600.0,Barbell,FALSE,Squat
112,2014-08-15,Barbell Squat,Legs,70.0,10.0,3,FitNotes,Squat,700.0,Barbell,FALSE,Squat
113,2014-08-15,Barbell Squat,Legs,75.0,10.0,4,FitNotes,Squat,750.0,Barbell,FALSE,Squat
114,2014-08-15,Trap-Bar Deadlift,Back,120.0,5.0,1,FitNotes,Deadlift*,600.0,Trap Bar,FALSE,Hinge
115,2014-08-15,Trap-Bar Deadlift,Back,140.0,3.0,2,FitNotes,Deadlift*,420.0,Trap Bar,FALSE,Hinge
